timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665272817047,2791,Get Users,200,OK,endurance 1-2,text,true,,784,152,3,3,https://myproject3-appservice.azurewebsites.net/api/Users,2791,0,667
1665272815031,4810,Get Users,200,OK,endurance 1-1,text,true,,784,152,3,3,https://myproject3-appservice.azurewebsites.net/api/Users,4810,0,896
1665272819026,939,Get Users,200,OK,endurance 1-3,text,true,,784,152,3,3,https://myproject3-appservice.azurewebsites.net/api/Users,939,0,791
1665272819841,194,Delete Users,200,OK,endurance 1-1,text,true,,310,154,3,3,https://myproject3-appservice.azurewebsites.net/api/Users/2,194,0,0
1665272819838,197,Delete Users,200,OK,endurance 1-2,text,true,,310,154,3,3,https://myproject3-appservice.azurewebsites.net/api/Users/4,197,0,0
1665272819965,137,Delete Users,200,OK,endurance 1-3,text,true,,310,154,3,3,https://myproject3-appservice.azurewebsites.net/api/Users/6,137,0,0
1665272820036,136,Get User by ID,200,OK,endurance 1-1,text,true,,310,154,3,3,https://myproject3-appservice.azurewebsites.net/api/Users/2,136,0,0
1665272820036,147,Get User by ID,200,OK,endurance 1-2,text,true,,310,154,2,2,https://myproject3-appservice.azurewebsites.net/api/Users/4,147,0,0
1665272820102,145,Get User by ID,200,OK,endurance 1-3,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/6,145,0,0
1665272821029,1041,Get Users,200,OK,endurance 1-4,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,1040,0,726
1665272822070,212,Delete Users,200,OK,endurance 1-4,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/8,212,0,0
1665272822282,201,Get User by ID,200,OK,endurance 1-4,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/8,201,0,0
1665272823028,1088,Get Users,200,OK,endurance 1-5,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,1088,0,887
1665272824116,205,Delete Users,200,OK,endurance 1-5,text,true,,313,155,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/10,205,0,0
1665272824321,206,Get User by ID,200,OK,endurance 1-5,text,true,,313,155,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/10,206,0,0
1665272825028,1752,Get Users,200,OK,endurance 1-6,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,1752,0,1547
1665272826780,210,Delete Users,200,OK,endurance 1-6,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/2,210,0,0
1665272826990,138,Get User by ID,200,OK,endurance 1-6,text,true,,310,154,2,2,https://myproject3-appservice.azurewebsites.net/api/Users/2,138,0,0
1665272827027,802,Get Users,200,OK,endurance 1-7,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,802,0,648
1665272827830,177,Delete Users,200,OK,endurance 1-7,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/4,177,0,0
1665272828007,138,Get User by ID,200,OK,endurance 1-7,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/4,138,0,0
1665272829027,799,Get Users,200,OK,endurance 1-8,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,799,0,620
1665272829827,230,Delete Users,200,OK,endurance 1-8,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/6,230,0,0
