timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666786829249,992,Get Users,200,OK,stress 1-1,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,992,0,685
1666786830241,205,Delete User,200,OK,stress 1-1,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/2,204,0,0
1666786830446,204,Get User by ID,200,OK,stress 1-1,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/2,204,0,0
1666786831243,1044,Get Users,200,OK,stress 1-2,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,1044,0,839
1666786832288,134,Delete User,200,OK,stress 1-2,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/4,134,0,0
1666786832422,140,Get User by ID,200,OK,stress 1-2,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/4,140,0,0
1666786833245,719,Get Users,200,OK,stress 1-3,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,719,0,578
1666786833964,138,Delete User,200,OK,stress 1-3,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/6,138,0,0
1666786834103,129,Get User by ID,200,OK,stress 1-3,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/6,129,0,0
1666786835242,731,Get Users,200,OK,stress 1-4,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,731,0,526
1666786835974,204,Delete User,200,OK,stress 1-4,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/8,204,0,0
1666786836178,205,Get User by ID,200,OK,stress 1-4,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/8,205,0,0
1666786837248,771,Get Users,200,OK,stress 1-5,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,771,0,519
1666786838020,218,Delete User,200,OK,stress 1-5,text,true,,313,155,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/10,218,0,0
1666786838238,191,Get User by ID,200,OK,stress 1-5,text,true,,313,155,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/10,191,0,0
1666786839259,706,Get Users,200,OK,stress 1-6,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,706,0,500
1666786839966,203,Delete User,200,OK,stress 1-6,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/2,203,0,0
1666786840170,213,Get User by ID,200,OK,stress 1-6,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/2,213,0,0
1666786841242,666,Get Users,200,OK,stress 1-7,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,666,0,462
1666786841909,226,Delete User,200,OK,stress 1-7,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/4,226,0,0
1666786842136,184,Get User by ID,200,OK,stress 1-7,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/4,184,0,0
1666786843248,913,Get Users,200,OK,stress 1-8,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,913,0,687
1666786844162,204,Delete User,200,OK,stress 1-8,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/6,204,0,0
1666786844367,203,Get User by ID,200,OK,stress 1-8,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/6,203,0,0
1666786845242,548,Get Users,200,OK,stress 1-9,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,548,0,408
1666786845790,209,Delete User,200,OK,stress 1-9,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/8,209,0,0
1666786846000,204,Get User by ID,200,OK,stress 1-9,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/8,204,0,0
1666786847255,895,Get Users,200,OK,stress 1-10,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,895,0,690
1666786848150,203,Delete User,200,OK,stress 1-10,text,true,,313,155,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/10,203,0,0
1666786848354,204,Get User by ID,200,OK,stress 1-10,text,true,,313,155,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/10,204,0,0
