timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663495981768,5070,Get Books,200,OK,Endurance_test 1-1,text,true,,909819,192,3,3,https://project-three-application-type.azurewebsites.net/api/Books,1946,0,1661
1663495986839,402,Get Book by ID,200,OK,Endurance_test 1-1,text,true,,5276,194,3,3,https://project-three-application-type.azurewebsites.net/api/Books/7,399,0,0
1663495987241,507,Post Books,200,OK,Endurance_test 1-1,text,true,,403,363,4,4,https://project-three-application-type.azurewebsites.net/api/Books,507,0,0
1663495987749,372,Delete book,200,OK,Endurance_test 1-1,,true,,211,216,4,4,https://project-three-application-type.azurewebsites.net/api/Books/7,372,0,0
1663495983779,4401,Get Books,200,OK,Endurance_test 1-2,text,true,,909234,192,4,4,https://project-three-application-type.azurewebsites.net/api/Books,1133,0,820
1663495988122,240,Put books,200,OK,Endurance_test 1-1,text,true,,403,362,4,4,https://project-three-application-type.azurewebsites.net/api/Books/7,240,0,0
1663495988181,318,Get Book by ID,200,OK,Endurance_test 1-2,text,true,,6079,194,4,4,https://project-three-application-type.azurewebsites.net/api/Books/4,311,0,0
1663495988363,427,Get Users,200,OK,Endurance_test 1-1,text,true,,1212,192,4,4,https://project-three-application-type.azurewebsites.net/api/Users,427,0,0
1663495988499,300,Post Books,200,OK,Endurance_test 1-2,text,true,,403,363,4,4,https://project-three-application-type.azurewebsites.net/api/Books,300,0,0
1663495988790,345,Post Users,200,OK,Endurance_test 1-1,text,true,,403,277,4,4,https://project-three-application-type.azurewebsites.net/api/Users,345,0,0
1663495988799,338,Delete book,200,OK,Endurance_test 1-2,,true,,211,216,4,4,https://project-three-application-type.azurewebsites.net/api/Books/4,338,0,0
1663495989138,261,Put books,200,OK,Endurance_test 1-2,text,true,,403,362,4,4,https://project-three-application-type.azurewebsites.net/api/Books/4,261,0,0
1663495989399,301,Get Users,200,OK,Endurance_test 1-2,text,true,,1212,192,4,4,https://project-three-application-type.azurewebsites.net/api/Users,301,0,0
1663495989140,560,Delete User,200,OK,Endurance_test 1-1,,true,,211,216,4,4,http://project-three-application-type.azurewebsites.net/api/Users/7,560,0,257
1663495989701,437,Get User by Id,200,OK,Endurance_test 1-1,text,true,,462,194,5,5,https://project-three-application-type.azurewebsites.net/api/Users/7,437,0,0
1663495989701,469,Post Users,200,OK,Endurance_test 1-2,text,true,,403,278,5,5,https://project-three-application-type.azurewebsites.net/api/Users,469,0,0
1663495990138,367,Put Users,200,OK,Endurance_test 1-1,text,true,,403,278,5,5,https://project-three-application-type.azurewebsites.net/api/Users/7,367,0,0
1663495990171,665,Delete User,200,OK,Endurance_test 1-2,,true,,211,216,4,4,http://project-three-application-type.azurewebsites.net/api/Users/4,665,0,333
1663495990837,596,Get User by Id,200,OK,Endurance_test 1-2,text,true,,462,194,4,4,https://project-three-application-type.azurewebsites.net/api/Users/4,596,0,0
1663495991434,453,Put Users,200,OK,Endurance_test 1-2,text,true,,403,279,5,5,https://project-three-application-type.azurewebsites.net/api/Users/4,453,0,0
1663495985778,6350,Get Books,200,OK,Endurance_test 1-3,text,true,,926325,192,4,4,https://project-three-application-type.azurewebsites.net/api/Books,1942,0,1340
1663495987748,4960,Get Books,200,OK,Endurance_test 1-4,text,true,,924350,192,4,4,https://project-three-application-type.azurewebsites.net/api/Books,1392,0,1042
1663495992128,646,Get Book by ID,200,OK,Endurance_test 1-3,text,true,,4937,195,4,4,https://project-three-application-type.azurewebsites.net/api/Books/10,646,0,0
1663495992709,437,Get Book by ID,200,OK,Endurance_test 1-4,text,true,,4068,194,4,4,https://project-three-application-type.azurewebsites.net/api/Books/7,437,0,0
1663495992775,372,Post Books,200,OK,Endurance_test 1-3,text,true,,403,363,4,4,https://project-three-application-type.azurewebsites.net/api/Books,372,0,0
1663495993147,396,Post Books,200,OK,Endurance_test 1-4,text,true,,403,363,4,4,https://project-three-application-type.azurewebsites.net/api/Books,396,0,0
1663495993147,396,Delete book,200,OK,Endurance_test 1-3,,true,,211,217,4,4,https://project-three-application-type.azurewebsites.net/api/Books/10,396,0,0
1663495993544,606,Delete book,200,OK,Endurance_test 1-4,,true,,211,216,5,5,https://project-three-application-type.azurewebsites.net/api/Books/7,606,0,0
1663495993544,606,Put books,200,OK,Endurance_test 1-3,text,true,,403,363,5,5,https://project-three-application-type.azurewebsites.net/api/Books/10,606,0,0
1663495994151,221,Put books,200,OK,Endurance_test 1-4,text,true,,403,362,5,5,https://project-three-application-type.azurewebsites.net/api/Books/7,221,0,0
1663495994151,239,Get Users,200,OK,Endurance_test 1-3,text,true,,1212,192,5,5,https://project-three-application-type.azurewebsites.net/api/Users,239,0,0
1663495994372,337,Get Users,200,OK,Endurance_test 1-4,text,true,,1212,192,5,5,https://project-three-application-type.azurewebsites.net/api/Users,337,0,0
1663495994390,342,Post Users,200,OK,Endurance_test 1-3,text,true,,403,278,5,5,https://project-three-application-type.azurewebsites.net/api/Users,342,0,0
1663495994710,241,Post Users,200,OK,Endurance_test 1-4,text,true,,403,279,5,5,https://project-three-application-type.azurewebsites.net/api/Users,241,0,0
